#Release 14.7 - par P.20131013 (nt)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Fri Dec 18 00:03:46 2020

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       Digital_Locker_map.ncd
#OUTPUT FILE:      Digital_Locker_pad.csv
#PART TYPE:        xc6slx9
#SPEED GRADE:      -3
#PACKAGE:          tqg144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,,IOBS,IO_L83N_VREF_3,UNUSED,,3,,,,,,,,,
P2,,IOBM,IO_L83P_3,UNUSED,,3,,,,,,,,,
P3,,,GND,,,,,,,,,,,,
P4,,,VCCO_3,,,3,,,,,2.50,,,,
P5,,IOBS,IO_L52N_3,UNUSED,,3,,,,,,,,,
P6,Locker_p6,IOB,IO_L52P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
P7,,IOBS,IO_L51N_3,UNUSED,,3,,,,,,,,,
P8,Arduino_Enter_p8,IOB,IO_L51P_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
P9,,IOBS,IO_L50N_3,UNUSED,,3,,,,,,,,,
P10,Arduino_Clear_p10,IOB,IO_L50P_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
P11,,IOBS,IO_L49N_3,UNUSED,,3,,,,,,,,,
P12,Arduino_bit4_p12,IOB,IO_L49P_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
P13,,,GND,,,,,,,,,,,,
P14,,IOBS,IO_L44N_GCLK20_3,UNUSED,,3,,,,,,,,,
P15,Arduino_bit3_p15,IOB,IO_L44P_GCLK21_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
P16,,IOBS,IO_L43N_GCLK22_IRDY2_3,UNUSED,,3,,,,,,,,,
P17,Arduino_bit2_p17,IOB,IO_L43P_GCLK23_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
P18,,,VCCO_3,,,3,,,,,2.50,,,,
P19,,,VCCINT,,,,,,,,1.2,,,,
P20,,,VCCAUX,,,,,,,,2.5,,,,
P21,,IOBS,IO_L42N_GCLK24_3,UNUSED,,3,,,,,,,,,
P22,Arduino_bit1_p22,IOB,IO_L42P_GCLK25_TRDY2_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
P23,,IOBS,IO_L41N_GCLK26_3,UNUSED,,3,,,,,,,,,
P24,Arduino_bit0_p24,IOB,IO_L41P_GCLK27_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
P25,,,GND,,,,,,,,,,,,
P26,,IOBS,IO_L37N_3,UNUSED,,3,,,,,,,,,
P27,Segment<6>,IOB,IO_L37P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
P28,,,VCCINT,,,,,,,,1.2,,,,
P29,Segment<5>,IOB,IO_L36N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
P30,Comm<3>,IOB,IO_L36P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
P31,,,VCCO_3,,,3,,,,,2.50,,,,
P32,Segment<4>,IOB,IO_L2N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
P33,Comm<2>,IOB,IO_L2P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
P34,Segment<3>,IOB,IO_L1N_VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
P35,Segment<2>,IOB,IO_L1P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
P36,,,VCCAUX,,,,,,,,2.5,,,,
P37,,,PROGRAM_B_2,,,,,,,,,,,,
P38,,IOBS,IO_L65N_CSO_B_2,UNUSED,,2,,,,,,,,,
P39,,IOBM,IO_L65P_INIT_B_2,UNUSED,,2,,,,,,,,,
P40,Segment<1>,IOB,IO_L64N_D9_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,NO,NONE,
P41,Segment<0>,IOB,IO_L64P_D8_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,NO,NONE,
P42,,,VCCO_2,,,2,,,,,2.50,,,,
P43,Comm<1>,IOB,IO_L62N_D6_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,NO,NONE,
